Tipo,Temática,Titulo,Fecha publicación,Consultar,Foto
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2024,2025,https://drive.google.com/file/d/1v3VauDlINDcgz9w_OHnl2kT1LAAvzrCW/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 38. Primer trimestre Enero-Marzo 2024,2024,https://drive.google.com/file/d/1yubqG6ZDR_nki_Ga-iyi1seXEXU9Bk5z/view,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 39. Segundo trimestre Abril-Junio 2024,2024,https://drive.google.com/file/d/1biEHeF6yO-PJ1678dC635saSuHs2BPHc/view,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 40. Tercer trimestre Julio-Septiembre 2024,2024,https://drive.google.com/file/d/1fUg_xalYgyPMGGmlHF1_ngsJjd3M14W9/view,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 41. Cuarto trimestre Octubre-Diciembre 2024,2024,https://drive.google.com/file/d/1tt9APKm9dVn8JSMvzRcP6MhLjr3L8AiM/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Comunicados,Monitoreo de la superficie del bosque,Gobierno Petro lográ la mayor reducción de la deforestación en la historia de Colombia,2024,https://drive.google.com/file/d/1n9Gk0bVdl53O4x2X7VjukJPbyuMAFmss/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Comunicados,Monitoreo de la superficie del bosque,Reducción histórica de la Amazonía colombiana,2024,https://drive.google.com/file/d/1ltJnWiQoA4GGcYHOlJJktwK2mjneVJiS/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2023,2024,https://drive.google.com/file/d/1Qr_rgxN0I5Lu0xDfaqluFRv4U5p48mFa/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Restauración del bosque y otras coberturas forestales,Monitoreo de la Restauración del Bosque a Nivel Nacional mediante el uso de datos de sensores remotos,2024,https://drive.google.com/file/d/1b2HkJTVGoYS1gdFNSJTTUhpGRbpTEbYY/view,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Investigaciones,Causas y agentes,Causas y agentes de las emisiones del sector Afolu de la región Orinoquia,2024,https://drive.google.com/file/d/15UKN9uMMPzyhWHTqJQrmIMcP0gRzNOJg/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Marco normativo,Registro Nacional de Zonas Deforestadas,Decreto 0909 de 2024,2024,https://www.alcaldiabogota.gov.co/sisjur/adminverblobawa?tabla=T_NORMA_ARCHIVO&p_NORMFIL_ID=55235&f_NORMFIL_FILE=X&inputfileext=NORMFIL_FILENAME,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 34. Primer trimestre Enero-Marzo 2023,2023,https://drive.google.com/file/d/1f8UgKtGRLmTic4BuTWvR4AmOWFmpf44C/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 35. Segundo trimestre Abril-Junio 2023,2023,https://drive.google.com/file/d/1SQaEw9aviH3clvj2msk4O2EcLLJwLyhI/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 36. Tercer trimestre Julio-Septiembre 2023,2023,https://drive.google.com/file/d/17pvmVRsffq3Tk6X_dnkXnfR_6Gj6zlkb/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 37. Cuarto trimestre Octubre-Diciembre 2023,2023,https://drive.google.com/file/d/19XQfLB1iSCuGxCAg8hO5yfuC8kDl8Tkc/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2022,2023,https://drive.google.com/file/d/1cxMgzUaPO1IfHDOBgrvqLbFvsKhNC2gk/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Metodología,Restauración del bosque y otras coberturas forestales,Protocolo de Monitoreo de la Restauración del Bosque mediante el uso de datos de sensores remotos,2023,https://drive.google.com/file/d/1D4AoedAer5G-_GOg1XcREaid9Hz2O2vj/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 30. Primer trimestre Enero-Marzo 2022,2022,https://drive.google.com/file/d/1hh44CCr1_XWcKvoTxeCDFB7SwOwYb5vA/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 31. Segundo trimestre Abril-Junio 2022,2022,https://drive.google.com/file/d/1m3vIwE_QAG3QnkzP-Rqzz1eZUl9aE0OC/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 32. Tercer trimestre Julio-Septiembre 2022,2022,https://drive.google.com/file/d/1-wWhgtauMfaYOl17GpuQkDcCW2HDCio7/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 33. Cuarto trimestre Octubre-Diciembre 2022,2022,https://drive.google.com/file/d/1Fbgj-AbkKcpPpONg6VbXqxYEHgyuLdSW/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2021,2022,https://drive.google.com/file/d/1eebBP4gAvxbZLlOyWgAb2iqQqy4nj4pZ/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 26. Primer trimestre Enero-Marzo 2021,2021,https://drive.google.com/file/d/1eOVKy3Di9yn0H4nIYALBRuqQAs61gxjQ/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 27. Segundo trimestre Abril-Junio 2021,2021,https://drive.google.com/file/d/17Im1ESH2y7kFJ9eoHSkN-cFanZE6aZeY/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 28. Tercer trimestre Julio-Septiembre 2021,2021,https://drive.google.com/file/d/1bm-RMnM-wEmuRswAVRzf_V0yHOcJkEhj/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 29. Cuarto trimestre Octubre-Diciembre 2021,2021,https://drive.google.com/file/d/1CpAMhbox-aklCO9fjiPQonhf2nRGnnk5/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2020,2021,https://drive.google.com/file/d/1lQ4bQJmkydLJWB_trLGpn821N6hBqH3m/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 22. Primer trimestre Enero-Marzo 2020,2020,https://drive.google.com/file/d/1wVteOF4uvg8dvshJnO8ed7r_UutpCRfS/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 23. Segundo trimestre Abril-Junio 2020,2020,https://drive.google.com/file/d/1FHLnpT9ScJ3wnXZWvOXRHDEKQQ98Z5uu/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 24. Tercer trimestre Julio-Septiembre 2020,2020,https://drive.google.com/file/d/1sKrRYrQvDHqraZv2em2CNuwXTZm7ofvJ/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 25. Cuarto trimestre Octubre-Diciembre 2020,2020,https://drive.google.com/file/d/1LjjbfeqGZqTIOlqnSmcEe_tqugleZs0l/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Informe,Monitoreo de la superficie del bosque,Cifras anuales del monitoreo de la superficie de bosque y la deforestación en Colombia 2019,2020,https://drive.google.com/file/d/1I3AVamnCPNbJxtzzrtJdK3QGiIAweL2l/view?usp=sharing,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 18. Primer trimestre Enero-Marzo 2019,2019,https://drive.google.com/file/d/1Yd2LnL4RpDYEBXLwFgq1QoehnkfVU0Ob/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
Boletín,Detección Temprana de Deforestación,Boletín 19. Segundo trimestre Abril-Junio 2019,2019,https://drive.google.com/file/d/1TwA8WkuLVMaacR7ehr4YQqsia2UXNph0/view?usp=drive_link,https://cdn-icons-png.freepik.com/256/9065/9065690.png?semt=ais_hybrid
